Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,97.250000,98.750000,96.500000,98.400002,78.337082,2099152
2012-01-03,99.250000,101.425003,99.000000,100.800003,80.247704,10143220
2012-01-04,101.612503,107.000000,101.500000,104.599998,83.272942,9475148
2012-01-05,104.599998,106.224998,103.062500,103.687500,82.546501,3231968
2012-01-06,103.500000,105.000000,102.500000,104.387497,83.103745,3272260
2012-01-07,null,null,null,null,null,null
2012-01-09,104.250000,104.699997,103.262497,103.737503,82.586296,2156612
2012-01-10,104.750000,105.162498,104.199997,104.974998,83.571449,6297316
2012-01-11,105.949997,106.224998,103.199997,103.824997,82.655914,2967676
2012-01-12,103.750000,103.800003,100.512497,101.437500,80.755241,4445508
2012-01-13,101.625000,102.025002,99.000000,99.437500,79.163040,5498304
2012-01-16,99.250000,102.099998,98.762497,101.487503,80.795021,3312632
2012-01-17,105.500000,108.125000,103.675003,106.349998,84.666122,19160384
2012-01-18,106.612503,106.675003,103.337502,104.362503,83.083847,5520804
2012-01-19,105.250000,105.637497,103.849998,104.737503,83.382370,3026768
2012-01-20,105.562500,105.562500,102.449997,104.412498,83.522369,3041328
2012-01-23,105.000000,105.900002,103.687500,105.062500,84.042336,2915000
2012-01-24,105.000000,107.500000,102.750000,107.112503,85.682182,2002912
2012-01-25,107.250000,107.500000,104.250000,105.199997,84.152290,3440640
2012-01-27,105.625000,107.525002,104.949997,107.000000,85.592201,3227024
2012-01-30,106.250000,107.525002,104.812500,107.262497,85.802185,2673028
2012-01-31,107.750000,109.875000,107.525002,109.412498,87.522018,4355496
2012-02-01,109.949997,110.224998,107.887497,109.474998,87.571999,2112760
2012-02-02,110.000000,115.949997,109.875000,115.362503,92.281570,8703964
2012-02-03,115.750000,115.862503,112.324997,113.500000,90.791733,2837152
2012-02-06,113.862503,116.987503,113.862503,115.687500,92.541542,5223688
2012-02-07,115.750000,117.125000,114.250000,115.150002,92.111603,2864588
2012-02-08,115.375000,117.087502,115.087502,116.800003,93.431496,1746136
2012-02-09,117.000000,117.675003,115.125000,115.862503,92.681519,2186664
2012-02-10,115.750000,117.500000,115.262497,117.175003,93.731461,1772184
2012-02-13,117.500000,118.750000,116.512497,117.074997,93.651436,1399924
2012-02-14,117.500000,117.587502,115.574997,117.062500,93.641464,1204780
2012-02-15,117.500000,117.812500,116.562500,117.425003,93.931450,1670112
2012-02-16,117.574997,119.275002,117.349998,119.012497,95.201286,3158044
2012-02-17,119.500000,125.724998,119.500000,123.137497,98.501030,7489652
2012-02-21,122.449997,123.737503,121.574997,123.437500,98.740974,3321024
2012-02-22,123.750000,124.500000,121.125000,123.025002,98.411011,4318952
2012-02-23,123.000000,124.500000,122.612503,123.849998,99.070961,5101628
2012-02-24,122.750000,124.962502,120.599998,123.212502,98.561005,2929116
2012-02-27,123.500000,124.500000,120.062500,121.150002,96.911163,4858240
2012-02-28,121.587502,121.800003,118.112503,120.574997,96.451180,3498548
2012-02-29,121.000000,121.525002,120.487503,121.237503,96.981163,2691580
2012-03-01,120.250000,121.250000,118.637497,120.500000,96.391182,1683944
2012-03-02,121.750000,121.750000,119.000000,120.412498,96.321228,1191136
2012-03-03,null,null,null,null,null,null
2012-03-05,119.300003,120.987503,117.387497,120.212502,96.161240,1175480
2012-03-06,120.500000,122.875000,118.750000,120.349998,96.271217,2283156
2012-03-07,119.875000,124.199997,118.625000,123.724998,98.970978,2902328
2012-03-09,124.300003,128.300003,124.300003,126.724998,101.370750,6700976
2012-03-12,126.750000,128.000000,125.050003,126.737503,101.380737,5146680
2012-03-13,127.000000,127.474998,124.050003,126.275002,101.010788,4438628
2012-03-14,127.500000,129.800003,125.537498,126.199997,100.950783,3655696
2012-03-15,125.599998,126.437500,123.337502,124.050003,99.230919,2046256
2012-03-16,124.750000,126.500000,122.650002,124.287498,99.420929,2789108
2012-03-19,123.512497,125.612503,122.000000,124.737503,99.780907,11628208
2012-03-20,124.750000,125.237503,121.425003,123.000000,98.391014,2010852
2012-03-21,122.375000,124.250000,121.987503,122.962502,98.361023,2622888
2012-03-22,123.000000,123.962502,117.375000,119.250000,95.391281,5161080
2012-03-23,120.199997,122.224998,118.875000,121.237503,96.981163,10785640
2012-03-26,121.974998,126.125000,117.875000,119.337502,95.461281,11350256
2012-03-27,120.000000,121.224998,117.037498,117.699997,94.151413,3814424
2012-03-28,117.762497,119.449997,116.412498,117.650002,94.111435,2521068
2012-03-29,116.250000,121.099998,110.150002,118.037498,94.421394,4696456
2012-03-30,118.050003,121.612503,118.050003,120.812500,96.641182,2436200
