Date,Open,High,Low,Close,Adj Close,Volume
2022-04-12,1780.000000,1781.500000,1733.599976,1747.699951,1725.601929,4215141
2022-04-13,1754.199951,1772.849976,1747.099976,1760.800049,1738.536377,1673417
2022-04-18,1746.300049,1749.949951,1715.000000,1738.349976,1716.370239,1808707
2022-04-19,1748.300049,1760.750000,1687.000000,1705.750000,1684.182373,2737766
2022-04-20,1709.949951,1712.400024,1671.349976,1691.599976,1670.211304,3832617
2022-04-21,1702.949951,1725.800049,1700.000000,1714.500000,1692.821777,1797489
2022-04-22,1701.000000,1716.400024,1690.400024,1694.349976,1672.926514,1474689
2022-04-25,1675.000000,1675.000000,1652.000000,1657.349976,1636.394409,1964344
2022-04-26,1680.000000,1703.099976,1664.000000,1699.949951,1678.455688,2440990
2022-04-27,1675.000000,1691.599976,1666.699951,1677.050049,1655.845337,1346726
2022-04-28,1690.000000,1731.000000,1680.000000,1719.250000,1697.511719,3117433
2022-04-29,1731.000000,1739.000000,1687.150024,1694.349976,1672.926514,2404830
2022-05-02,1668.599976,1685.949951,1655.050049,1679.449951,1658.214844,1399802
2022-05-04,1679.500000,1681.900024,1625.050049,1633.949951,1613.290161,1777673
2022-05-05,1650.699951,1671.199951,1633.000000,1637.650024,1616.943481,1707752
2022-05-06,1616.000000,1633.000000,1612.099976,1622.449951,1601.935669,1439520
2022-05-09,1607.550049,1629.849976,1591.250000,1616.150024,1595.715332,1400010
2022-05-10,1611.000000,1629.599976,1601.000000,1607.949951,1587.618896,1176030
2022-05-11,1600.500000,1609.000000,1557.349976,1570.800049,1550.938721,2988788
2022-05-12,1550.000000,1554.949951,1513.099976,1526.150024,1506.853271,3407191
2022-05-13,1530.000000,1574.900024,1502.000000,1534.500000,1515.097656,4328846
2022-05-16,1550.000000,1567.500000,1539.449951,1542.900024,1523.391479,1775914
2022-05-17,1545.000000,1607.900024,1545.000000,1604.099976,1583.817627,1608711
2022-05-18,1623.000000,1623.000000,1565.000000,1572.500000,1552.617188,2984009
2022-05-19,1550.000000,1562.750000,1540.349976,1547.949951,1528.377563,1798843
2022-05-20,1569.400024,1613.449951,1561.050049,1610.099976,1589.741821,2175224
2022-05-23,1629.000000,1660.000000,1605.599976,1644.150024,1623.361328,4177811
2022-05-24,1644.800049,1653.699951,1610.099976,1626.300049,1605.737061,1970395
2022-05-25,1633.000000,1639.699951,1571.099976,1574.750000,1554.838745,1417130
2022-05-26,1575.000000,1588.900024,1536.650024,1564.550049,1544.767822,3578710
2022-05-27,1575.199951,1606.000000,1574.000000,1600.300049,1580.065796,1279218
2022-05-30,1620.000000,1663.699951,1613.599976,1660.849976,1639.850098,2119326
2022-05-31,1660.500000,1674.400024,1645.000000,1654.500000,1633.580444,3534742
2022-06-01,1653.550049,1661.000000,1638.449951,1648.000000,1627.162598,1425466
2022-06-02,1632.000000,1649.449951,1623.699951,1637.150024,1616.449829,1852251
2022-06-03,1657.949951,1673.699951,1644.949951,1652.050049,1631.161499,2928263
2022-06-06,1652.150024,1662.300049,1634.099976,1640.199951,1619.461182,1538005
2022-06-07,1630.000000,1638.400024,1586.099976,1589.449951,1569.352905,2157491
2022-06-08,1595.000000,1607.800049,1570.099976,1584.550049,1564.514893,2122442
2022-06-09,1556.199951,1600.000000,1556.199951,1595.099976,1574.931396,1361104
2022-06-10,1570.000000,1594.500000,1569.050049,1585.099976,1565.057861,1337799
2022-06-13,1560.150024,1565.949951,1518.300049,1532.050049,1512.678711,2460367
2022-06-14,1532.050049,1554.300049,1525.199951,1544.650024,1525.119385,1983405
2022-06-15,1547.949951,1567.000000,1539.050049,1560.349976,1540.620850,1461683
2022-06-16,1568.400024,1575.000000,1516.750000,1527.400024,1508.087524,2329325
2022-06-17,1522.000000,1529.949951,1481.400024,1489.949951,1471.110962,4548572
2022-06-20,1490.000000,1497.849976,1456.349976,1471.800049,1453.190552,1837431
2022-06-21,1480.000000,1515.199951,1476.900024,1500.300049,1481.330200,1458922
2022-06-22,1490.000000,1490.949951,1468.000000,1478.750000,1460.052612,1906619
2022-06-23,1481.500000,1511.750000,1481.500000,1494.300049,1475.406006,1828491
2022-06-24,1501.750000,1512.000000,1489.000000,1494.849976,1475.948975,1731440
2022-06-27,1524.000000,1544.699951,1509.750000,1535.800049,1516.381348,2389778
2022-06-28,1530.000000,1557.500000,1524.099976,1551.500000,1531.882813,2072405
2022-06-29,1531.250000,1554.000000,1525.400024,1547.900024,1528.328247,1480197
2022-06-30,1549.050049,1566.900024,1542.099976,1558.250000,1538.547363,3308971
2022-07-01,1560.949951,1576.000000,1534.599976,1572.150024,1552.271729,1294305
