Date,Open,High,Low,Close,Adj Close,Volume
2012-02-27,145.000000,146.949997,140.000000,144.100006,109.426003,11640
2012-02-28,148.500000,148.500000,145.000000,148.149994,112.501450,7650
2012-02-29,148.600006,150.000000,145.199997,149.649994,113.640503,8048
2012-03-01,159.699997,178.699997,153.250000,163.300003,124.006027,442910
2012-03-02,164.399994,164.399994,150.100006,155.050003,117.741127,110069
2012-03-03,null,null,null,null,null,null
2012-03-05,153.250000,155.899994,147.199997,149.600006,113.602585,20339
2012-03-06,149.899994,154.000000,146.250000,152.250000,115.614906,24887
2012-03-07,153.000000,153.699997,147.000000,152.199997,115.576935,9802
2012-03-09,152.250000,154.000000,150.449997,152.449997,115.766777,6676
2012-03-12,153.000000,153.800003,152.100006,152.600006,115.880676,6283
2012-03-13,152.149994,158.300003,150.000000,153.050003,116.222420,12104
2012-03-14,153.199997,156.399994,150.000000,151.649994,115.159264,14017
2012-03-15,152.500000,153.050003,150.000000,150.000000,113.906296,4491
2012-03-16,149.000000,150.949997,146.500000,149.750000,113.716492,4415
2012-03-19,148.250000,152.000000,143.250000,150.000000,113.906296,11916
2012-03-20,148.050003,150.949997,146.100006,149.399994,113.450661,3129
2012-03-21,149.399994,154.449997,144.800003,151.550003,115.083344,13280
2012-03-22,151.000000,152.000000,148.500000,149.449997,113.488647,7732
2012-03-23,147.649994,150.649994,144.149994,149.750000,113.716492,7002
2012-03-26,153.600006,153.600006,149.000000,150.350006,114.172089,14757
2012-03-27,150.000000,155.000000,148.050003,153.100006,116.260353,12000
2012-03-28,150.100006,150.600006,149.000000,149.800003,113.754425,12813
2012-03-29,148.100006,150.750000,148.100006,149.399994,113.450661,5515
2012-03-30,152.850006,152.850006,148.300003,149.300003,113.374748,548544
2012-04-02,147.000000,154.850006,147.000000,153.600006,116.640053,7920
2012-04-03,152.100006,156.000000,152.100006,154.899994,117.627243,10274
2012-04-04,153.000000,156.000000,150.250000,154.899994,117.627243,2818
2012-04-09,154.000000,163.050003,153.699997,161.050003,122.297409,32194
2012-04-10,159.250000,172.000000,158.399994,167.600006,127.271294,17644
2012-04-11,166.500000,168.449997,162.199997,163.949997,124.499573,7019
2012-04-12,163.949997,164.949997,160.100006,164.500000,124.917244,6665
2012-04-13,167.500000,167.500000,160.149994,165.050003,125.334923,14278
2012-04-16,165.000000,165.800003,161.800003,165.050003,125.334923,9212
2012-04-17,166.000000,166.000000,164.100006,165.250000,125.486771,13919
2012-04-18,167.500000,181.800003,165.500000,167.399994,127.119438,318200
2012-04-19,169.699997,171.000000,165.000000,165.350006,125.562729,67417
2012-04-20,168.949997,169.000000,155.750000,165.199997,125.448792,30890
2012-04-23,167.000000,167.000000,159.050003,159.949997,121.462090,11475
2012-04-24,160.500000,162.500000,157.100006,160.000000,121.500061,6720
2012-04-25,160.000000,161.750000,159.050003,160.750000,122.069595,9620
2012-04-26,158.000000,160.899994,155.699997,160.000000,121.500061,6634
2012-04-27,158.050003,162.199997,158.050003,160.750000,122.069595,7908
2012-04-30,161.100006,164.000000,158.550003,162.100006,123.094734,4086
2012-05-02,163.899994,168.000000,161.000000,167.399994,127.119438,15102
2012-05-03,165.050003,168.000000,162.000000,162.250000,123.208656,3200
